note_id,participant_id,participant_name,section_key,note_type,text,note_text_wrapped,theme,date,time,location,theme_cluster,theme_auto
0,__1_____________________,,observation_notes,observation,made grocery list of stuff needed systemitized planning I shopping,"made grocery list of stuff
needed systemitized planning
I shopping",Grocery List / List / Grocery / Online,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,4,Grocery List / List / Grocery / Online
1,__1_____________________,,observation_notes,observation,fried rice w/ veg +egg sticks to what works,"fried rice w/ veg +egg
sticks to what works",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
2,__1_____________________,,observation_notes,observation,sometimes gets stuff before back,"sometimes gets stuff before
back",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
3,__1_____________________,,observation_notes,observation,gets beef ($4 79/1b 8180/20 otherwise actively counteract,"gets beef ($4 79/1b 8180/20
otherwise actively
counteract",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
4,__1_____________________,,observation_notes,observation,sometimes gets stuff only there if TJ's closed,"sometimes gets stuff only
there if TJ's closed",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
5,__1_____________________,,observation_notes,observation,80/20 $4.79 roll for pasta,80/20 $4.79 roll for pasta,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
6,__1_____________________,,observation_notes,observation,closer + full service,closer + full service,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
7,__1_____________________,,observation_notes,observation,only buys snack there,only buys snack there,Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
8,__1_____________________,,observation_notes,observation,prevents overshopping at TJ's + speeds trip,"prevents overshopping at
TJ's + speeds trip",Overshopping / Trip / Works / Financial,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,5,Overshopping / Trip / Works / Financial
9,__1_____________________,,observation_notes,observation,Google Maps for bus schedule (especially return trip),"Google Maps for bus schedule
(especially return trip)",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
12,__1_____________________,,observation_notes,observation,· Began&apt : Surv ey fridge + pantry < highly optimized routine from trial berror,"· Began&apt : Surv ey fridge
+ pantry < highly optimized
routine from trial berror",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
13,__1_____________________,,observation_notes,observation,made grocery list of stuff needed systemitized planning I shopping,"made grocery list of stuff
needed systemitized planning
I shopping",Grocery List / List / Grocery / Online,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,4,Grocery List / List / Grocery / Online
14,__1_____________________,,observation_notes,observation,↳ had a routine for 3meals/dayf/7 days · very,"↳ had a routine for
3meals/dayf/7 days · very",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
15,__1_____________________,,observation_notes,observation,"= Obtbanana foast/overnight outs < even though price sensitive , time is money","= Obtbanana foast/overnight
outs < even though price
sensitive , time is money",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
16,__1_____________________,,observation_notes,observation,fried rice w/ veg +egg sticks to what works,"fried rice w/ veg +egg
sticks to what works",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
17,__1_____________________,,observation_notes,observation,b- qa e sta awl n dround s eb d esti uy · Physical constraints (waln + bus + carrying,"b- qa e sta awl n dround s
eb d esti uy · Physical
constraints (waln + bus +
carrying",Grocery / Participant / Shopping / Time,,,_T_h_e__R_e_g_e_n_t__>_K__w_ih__tp___&_T_r_a_de_r__do es Participant ID: __1_____________________,1,Grocery / Participant / Shopping / Time
